,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,1,0,0,1,0,20,9,0,0,0,14,0,0,6,2,1,0,0,1,15,10,0,0,0,0,0,1,6
Mohamed Salah,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6,5,0,0,0,6,1,0,0,0,0,1,2,9
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,0,1,0,0,0,0,4,2,0,0,0,7,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,6
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,18,0,0,0,5,0,0,1,0,0,0,40,0,0,3,0,0,0,0,0,18,6,0,0,0,0,0,1,16
Andy Robertson,7,3,0,0,1,0,2,0,0,0,0,20,0,0,1,11,11,0,0,0,18,1,0,0,0,0,0,0,13
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,19,2,0,0,6,0,34,19,0,0,0,0,0,0,0,4,2,0,0,0,24,4,0,0,0,0,0,0,13
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,4,1,0,0,0,0,5,4,0,0,0,1,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,1,6
Roberto Firmino,5,7,0,0,0,0,0,6,0,0,0,1,0,0,4,0,1,0,0,0,8,2,0,2,0,0,0,2,11
Sadio Mané,2,4,0,0,0,0,0,5,0,0,0,3,0,0,3,2,0,0,0,0,5,1,0,0,0,0,0,1,6
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,9,6,0,0,2,0,21,22,0,0,0,21,0,0,5,4,5,0,0,0,0,9,0,1,0,0,0,1,15
Trent Alexander-Arnold,11,6,0,0,0,0,6,1,0,0,0,4,0,0,5,5,2,0,0,1,4,0,0,0,0,0,0,0,18
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,4
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
