,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,6,0,0,0,0,2,3,0,0,3,6,0,0,0,3,3,0,0,2,0,0,0,11,0,0,1,1,4
Mohamed Salah,2,0,0,0,0,0,4,5,0,0,1,1,0,0,0,10,2,0,1,2,0,3,0,11,0,0,1,6,16
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,1,0,0,0,0,0,2,3,0,0,5,12,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,7,10,0,0,0,0,0,6,0,0,3,7,0,0,0,7,0,0,0,5,0,0,0,7,0,0,0,0,8
Andy Robertson,5,0,0,0,3,0,5,0,0,0,1,13,0,0,0,13,8,0,0,19,0,0,0,1,0,0,0,0,14
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,3,4,0,0,6,0,9,0,0,0,0,20,0,0,0,4,1,0,0,10,0,0,0,19,0,0,0,0,10
Virgil van Dijk,5,4,0,0,2,0,12,22,0,0,28,0,0,0,0,0,1,0,0,20,0,0,0,8,0,0,0,0,4
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,3,10,0,0,0,0,0,4,0,0,2,3,0,0,0,0,2,0,0,10,0,1,0,3,0,0,0,3,8
Sadio Mané,0,1,0,0,0,0,0,6,0,0,1,2,0,0,0,2,0,0,0,4,0,0,0,1,0,0,1,2,1
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Naby Keïta,5,8,0,0,0,0,10,16,0,0,5,21,0,0,0,6,6,1,2,0,0,2,0,6,0,0,0,1,9
Jordan Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,5
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,9,14,0,0,5,0,8,1,0,0,18,7,0,0,0,4,2,0,0,11,0,2,0,0,0,0,0,3,15
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
