,initial_possession
Georginio Wijnaldum,23
Mohamed Salah,17
Adam Lallana,0
Dejan Lovren,0
Alisson Becker,16
Simon Mignolet,0
Fabinho,0
Andy Robertson,19
Joe Gomez,33
Curtis Jones,0
Joël Matip,4
Virgil van Dijk,24
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,0
Roberto Firmino,10
Sadio Mané,18
Daniel Sturridge,1
Divock Origi,0
Naby Keïta,19
Jordan Henderson,15
Trent Alexander-Arnold,41
Alex Oxlade-Chamberlain,0
James Milner,34
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
