,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,2,0,0,0,0,0,11,10,0,0,12,0,0,0,7,4,1,0,9,2,6,0,11,0,0,0,3,1
Mohamed Salah,2,0,0,0,0,0,0,4,2,0,0,2,0,0,0,6,5,1,0,1,0,3,0,3,0,0,1,5,15
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,2,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Robertson,13,0,0,0,0,0,0,0,3,0,0,12,0,0,0,7,3,0,0,10,3,1,0,2,0,0,0,0,10
Joe Gomez,14,5,0,0,0,0,0,0,0,0,0,36,0,0,0,3,1,0,0,5,6,9,0,11,0,0,0,1,12
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Virgil van Dijk,9,7,0,0,3,0,0,9,26,0,0,0,0,0,0,6,1,0,0,21,5,2,0,15,0,0,0,0,9
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,6,5,0,0,0,0,0,1,2,0,0,3,0,0,0,0,5,1,0,1,4,4,0,3,0,0,0,5,12
Sadio Mané,4,4,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,3,0,1,0,6,0,0,0,2,12
Daniel Sturridge,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,9,2,0,0,0,0,0,9,7,0,0,10,0,0,0,6,8,0,0,0,0,2,0,3,0,0,0,1,6
Jordan Henderson,4,2,0,0,0,0,0,5,2,0,0,5,0,0,0,5,0,1,0,0,0,8,0,5,0,0,0,0,2
Trent Alexander-Arnold,3,12,0,0,3,0,0,0,14,0,0,3,0,0,0,4,1,1,0,3,4,0,0,17,0,0,0,2,19
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,6,7,0,0,1,0,0,9,13,0,0,8,0,0,0,5,6,2,0,3,3,22,0,0,0,0,0,0,16
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
