,initial_possession
Georginio Wijnaldum,0
Mohamed Salah,12
Adam Lallana,15
Dejan Lovren,0
Alisson Becker,17
Simon Mignolet,0
Fabinho,27
Andy Robertson,37
Joe Gomez,0
Curtis Jones,0
Joël Matip,23
Virgil van Dijk,33
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,10
Roberto Firmino,16
Sadio Mané,21
Daniel Sturridge,0
Divock Origi,4
Naby Keïta,25
Jordan Henderson,0
Trent Alexander-Arnold,0
Alex Oxlade-Chamberlain,0
James Milner,34
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
