,initial_possession
Ben White,0
Mathew Ryan,20
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,8
Bruno,0
Lewis Dunk,20
Anthony Knockaert,11
Jürgen Locadia,0
Jason Steele,0
Martín Montoya,34
Bernardo,45
Davy Pröpper,26
Leon Balogun,0
José Izquierdo,0
Gaëtan Bong,0
Viktor Gyökeres,0
Pascal Groß,0
Dan Burn,0
Alireza Jahanbakhsh,21
Shane Duffy,18
Florin Andone,0
Max Sanders,0
Dale Stephens,36
Beram Kayal,0
Glenn Murray,19
Yves Bissouma,24
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
