,initial_possession
Georginio Wijnaldum,24
Mohamed Salah,16
Adam Lallana,0
Dejan Lovren,31
Alisson Becker,15
Simon Mignolet,0
Fabinho,6
Andy Robertson,30
Joe Gomez,0
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,28
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,16
Roberto Firmino,22
Sadio Mané,18
Daniel Sturridge,0
Divock Origi,0
Naby Keïta,0
Jordan Henderson,27
Trent Alexander-Arnold,33
Alex Oxlade-Chamberlain,0
James Milner,4
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
