,initial_possession
Georginio Wijnaldum,0
Mohamed Salah,17
Adam Lallana,2
Dejan Lovren,0
Alisson Becker,7
Simon Mignolet,0
Fabinho,18
Andy Robertson,35
Joe Gomez,0
Curtis Jones,0
Joël Matip,45
Virgil van Dijk,25
Rafael Camacho,1
Nathaniel Clyne,0
Xherdan Shaqiri,2
Roberto Firmino,13
Sadio Mané,20
Daniel Sturridge,0
Divock Origi,0
Naby Keïta,13
Jordan Henderson,21
Trent Alexander-Arnold,0
Alex Oxlade-Chamberlain,0
James Milner,38
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
