,initial_possession
Denis Suárez,0
Mesut Özil,13
Emile Smith Rowe,0
Granit Xhaka,43
Mohamed Elneny,0
Alex Iwobi,12
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,29
Petr Cech,0
Alexandre Lacazette,15
Ainsley Maitland-Niles,0
Mattéo Guendouzi,0
Henrikh Mkhitaryan,18
Joe Willock,0
Stephan Lichtsteiner,0
Bukayo Saka,0
Aaron Ramsey,1
Carl Jenkinson,0
Pierre-Emerick Aubameyang,16
Héctor Bellerín,25
Eddie Nketiah,0
Laurent Koscielny,0
Sead Kolasinac,23
Bernd Leno,20
Lucas Torreira,21
Rob Holding,29
Danny Welbeck,4
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
