,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,2,0,0,0,0,9,5,0,0,3,8,0,0,0,2,5,0,0,0,1,0,0,2,0,0,0,2,6
Mohamed Salah,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,4,2,0,0,4,0,0,2,0,0,0,1,5
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,2,0,0,0,0,0,3,4,0,0,10,3,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,3
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,7,1,0,0,2,0,0,5,0,0,6,10,0,0,3,1,5,3,0,0,10,0,0,8,0,0,0,0,8
Andy Robertson,8,0,0,0,2,0,5,0,0,0,0,5,0,0,0,0,3,0,1,0,2,0,0,1,0,0,0,0,11
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,1,0,0,0,6,0,4,0,0,0,0,27,0,0,1,0,0,1,0,0,8,0,0,13,0,0,0,2,9
Virgil van Dijk,8,0,0,0,4,0,14,6,0,0,20,0,0,0,2,0,1,0,0,0,6,0,0,6,0,0,0,0,8
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,2,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,3
Roberto Firmino,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0
Sadio Mané,4,1,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,3,0,0,5,0,0,5,0,0,0,0,16
Daniel Sturridge,2,3,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,3
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,1,7,0,0,0,0,10,0,0,0,6,6,0,0,0,1,5,2,0,0,0,0,0,15,0,0,0,0,15
Trent Alexander-Arnold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,1,7,0,0,1,0,3,1,0,0,14,1,0,0,7,1,5,5,1,0,19,0,0,0,0,0,0,1,24
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
