,initial_possession
Denis Suárez,0
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,0
Mohamed Elneny,0
Alex Iwobi,12
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,23
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,30
Petr Cech,0
Alexandre Lacazette,9
Ainsley Maitland-Niles,0
Mattéo Guendouzi,27
Henrikh Mkhitaryan,12
Joe Willock,0
Stephan Lichtsteiner,13
Bukayo Saka,0
Aaron Ramsey,9
Carl Jenkinson,0
Pierre-Emerick Aubameyang,12
Héctor Bellerín,22
Eddie Nketiah,0
Laurent Koscielny,0
Sead Kolasinac,24
Bernd Leno,17
Lucas Torreira,33
Rob Holding,7
Danny Welbeck,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
