,initial_possession
Georginio Wijnaldum,14
Mohamed Salah,20
Adam Lallana,29
Dejan Lovren,0
Alisson Becker,17
Simon Mignolet,0
Fabinho,29
Andy Robertson,29
Joe Gomez,0
Curtis Jones,0
Joël Matip,30
Virgil van Dijk,44
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,0
Roberto Firmino,23
Sadio Mané,6
Daniel Sturridge,2
Divock Origi,0
Naby Keïta,9
Jordan Henderson,9
Trent Alexander-Arnold,28
Alex Oxlade-Chamberlain,0
James Milner,0
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
