,initial_possession
Ben White,0
Mathew Ryan,14
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,19
Bruno,11
Lewis Dunk,28
Anthony Knockaert,0
Jürgen Locadia,0
Jason Steele,0
Martín Montoya,0
Bernardo,39
Davy Pröpper,24
Leon Balogun,12
José Izquierdo,7
Gaëtan Bong,0
Viktor Gyökeres,0
Pascal Groß,20
Dan Burn,0
Alireza Jahanbakhsh,0
Shane Duffy,38
Florin Andone,18
Max Sanders,0
Dale Stephens,0
Beram Kayal,0
Glenn Murray,3
Yves Bissouma,24
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
