,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Mohamed Salah,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,13,2,0,0,0,7,8,0,0,0,0,1,4,11
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,0,1,0,0,0,0,4,1,0,0,11,7,0,0,1,1,0,0,0,2,0,3,0,0,0,0,0,0,3
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,2,5,0,0,1,0,0,6,0,0,9,11,0,0,0,5,6,0,0,9,3,20,0,1,0,0,0,1,8
Andy Robertson,0,1,0,0,2,0,15,0,0,0,2,14,0,0,0,4,11,0,0,8,2,1,0,5,0,0,0,0,15
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,1,6,0,0,12,0,12,0,0,0,0,11,0,0,0,1,0,0,0,3,2,18,0,0,0,0,0,0,9
Virgil van Dijk,0,1,0,0,2,0,10,13,0,0,23,0,0,0,0,2,0,0,0,5,2,1,0,3,0,0,0,0,7
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,2,10,0,0,0,0,6,4,0,0,0,0,0,0,0,0,1,0,0,2,7,1,0,1,0,0,0,2,10
Sadio Mané,1,6,0,0,1,0,0,10,0,0,1,1,0,0,0,5,0,0,0,5,0,0,0,3,0,0,1,2,6
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,0,0,0,1,0,4,15,0,0,2,5,0,0,0,1,7,0,0,0,3,0,0,0,0,0,0,1,3
Jordan Henderson,0,7,0,0,0,0,6,2,0,0,4,2,0,0,0,2,4,0,0,4,0,11,0,0,0,0,0,1,10
Trent Alexander-Arnold,0,12,0,0,1,0,10,0,0,0,11,4,0,0,0,8,2,0,0,3,11,0,0,2,0,0,0,2,28
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,1,1,0,0,0,0,2,7,0,0,0,3,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
