,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Salah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,2,1
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,0,0,0,0,0,0,0,0,1,0,8,8,0,0,0,0,0,1,0,1,7,2,0,4,0,6,0,0,5
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Robertson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Gomez,0,0,0,0,1,0,0,0,0,0,6,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,1,0,0,14,0,0,0,6,0,0,26,0,0,6,0,0,5,1,4,11,6,0,2,0,1,0,0,18
Virgil van Dijk,0,0,0,0,8,0,0,0,1,0,25,0,0,0,1,2,0,0,1,10,16,4,0,12,0,12,0,3,12
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,0,1,0,0,0,0,0,0,1,0,4,2,0,0,1,0,0,5,1,7,6,8,0,5,0,2,1,0,8
Roberto Firmino,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,3,1,0,5,0,0,1,0,2
Sadio Mané,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Sturridge,0,1,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,2,2,5,2,0,2,0,0,0,1,10
Divock Origi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,3,1,1,0,2,0,0,0,0,3
Naby Keïta,0,2,0,0,1,0,0,0,1,0,3,5,0,0,4,2,0,6,2,0,11,8,0,6,0,3,0,6,4
Jordan Henderson,0,1,0,0,0,0,0,0,1,0,11,16,0,0,5,4,0,3,2,12,0,8,0,11,0,4,0,1,10
Trent Alexander-Arnold,0,0,0,0,1,0,0,0,0,0,12,3,0,0,12,1,0,3,3,5,3,0,0,1,0,0,0,1,19
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,0,0,0,0,0,0,0,0,0,4,11,0,0,10,4,0,5,2,3,10,3,0,0,0,10,1,1,15
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,1,3,5,6,0,0,13,0,0,0,0,9
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
