,initial_possession
Ben White,0
Mathew Ryan,20
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,7
Bruno,23
Lewis Dunk,10
Anthony Knockaert,13
Jürgen Locadia,0
Jason Steele,0
Martín Montoya,0
Bernardo,7
Davy Pröpper,26
Leon Balogun,0
José Izquierdo,0
Gaëtan Bong,21
Viktor Gyökeres,0
Pascal Groß,0
Dan Burn,0
Alireza Jahanbakhsh,15
Shane Duffy,17
Florin Andone,15
Max Sanders,0
Dale Stephens,21
Beram Kayal,0
Glenn Murray,3
Yves Bissouma,20
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
