,initial_possession
Ben White,0
Mathew Ryan,18
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,12
Bruno,3
Lewis Dunk,29
Anthony Knockaert,17
Jürgen Locadia,0
Jason Steele,0
Martín Montoya,0
Bernardo,41
Davy Pröpper,27
Leon Balogun,0
José Izquierdo,0
Gaëtan Bong,19
Viktor Gyökeres,0
Pascal Groß,7
Dan Burn,0
Alireza Jahanbakhsh,4
Shane Duffy,33
Florin Andone,0
Max Sanders,0
Dale Stephens,25
Beram Kayal,0
Glenn Murray,13
Yves Bissouma,10
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
