,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,1,0,0,0,0,4,3,10,0,0,7,0,0,17,3,0,0,0,0,0,14,0,0,0,0,0,0,4
Mohamed Salah,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,1,0,0,0,1,1,0,1,0,0,1,4,7
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,0,0,0,0,0,0,1,7,9,0,0,8,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,3
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,9,2,0,0,0,0,0,16,11,0,0,13,0,0,4,5,4,0,0,0,4,4,0,0,0,0,0,1,8
Andy Robertson,1,0,0,0,4,0,7,0,4,0,0,20,0,0,2,22,18,0,0,0,4,1,0,2,0,0,0,1,19
Joe Gomez,10,0,0,0,6,0,9,3,0,0,0,30,0,0,8,3,2,0,0,0,3,7,0,0,0,0,0,0,7
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,14,0,0,0,6,0,14,25,19,0,0,0,0,0,2,4,4,0,0,0,7,5,0,1,0,0,0,1,7
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,10,4,0,0,0,0,2,1,7,0,0,2,0,0,0,1,2,0,0,0,1,10,0,0,0,0,1,3,15
Roberto Firmino,1,3,0,0,0,0,9,13,2,0,0,0,0,0,6,0,4,0,0,0,2,4,0,1,0,0,0,1,4
Sadio Mané,0,3,0,0,0,0,8,13,1,0,0,2,0,0,1,4,0,0,0,0,3,1,0,0,0,0,0,4,9
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,0,1,0,0,2,0,3,2,3,0,0,3,0,0,2,4,3,0,0,1,0,4,0,2,0,0,0,0,4
Trent Alexander-Arnold,12,10,0,0,1,0,5,0,8,0,0,2,0,0,4,4,3,0,0,0,3,0,0,0,0,0,0,4,22
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,3,1,0,0,0,0,0,0,3
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
