,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,1,0,0,0,0,0,9,1,0,12,10,0,0,0,3,2,0,0,3,6,3,0,0,0,0,1,0,2
Mohamed Salah,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,4,2,0,0,0,0,0,4,12
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,0,0,0,0,0,0,0,1,0,0,6,8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andy Robertson,3,1,0,0,2,0,0,0,0,0,3,4,0,0,0,8,14,0,0,8,7,1,0,3,0,0,0,0,12
Joe Gomez,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,8,6,0,0,5,0,0,1,1,0,0,10,0,0,0,9,3,0,0,8,11,12,0,5,0,0,0,0,6
Virgil van Dijk,4,0,0,0,2,0,0,11,0,0,18,0,0,0,0,3,4,0,0,8,3,0,0,1,0,0,0,1,12
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,2,7,0,0,0,0,0,4,0,0,5,3,0,0,0,0,2,0,0,6,10,4,0,2,0,0,0,3,7
Sadio Mané,1,4,0,0,0,0,0,2,0,0,0,2,0,0,0,7,0,0,0,5,8,3,0,4,0,0,0,3,10
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,6,1,0,0,0,0,0,12,0,0,1,10,0,0,0,6,12,0,0,0,2,2,0,0,0,0,0,1,5
Jordan Henderson,5,9,0,0,0,0,0,7,1,0,8,2,0,0,0,7,2,0,0,6,0,13,0,1,0,0,0,1,12
Trent Alexander-Arnold,4,3,0,0,1,0,0,1,0,0,15,0,0,0,0,4,2,0,0,5,11,0,0,0,0,0,0,2,16
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,2,2,0,0,1,0,0,8,1,0,2,2,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,1
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
