,initial_possession
Denis Suárez,0
Mesut Özil,12
Emile Smith Rowe,0
Granit Xhaka,30
Mohamed Elneny,0
Alex Iwobi,20
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,32
Petr Cech,0
Alexandre Lacazette,15
Ainsley Maitland-Niles,0
Mattéo Guendouzi,13
Henrikh Mkhitaryan,18
Joe Willock,0
Stephan Lichtsteiner,12
Bukayo Saka,0
Aaron Ramsey,4
Carl Jenkinson,0
Pierre-Emerick Aubameyang,7
Héctor Bellerín,28
Eddie Nketiah,0
Laurent Koscielny,0
Sead Kolasinac,0
Bernd Leno,17
Lucas Torreira,31
Rob Holding,19
Danny Welbeck,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
