,initial_possession
Denis Suárez,0
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,23
Mohamed Elneny,0
Alex Iwobi,15
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,25
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,10
Petr Cech,0
Alexandre Lacazette,2
Ainsley Maitland-Niles,22
Mattéo Guendouzi,1
Henrikh Mkhitaryan,0
Joe Willock,0
Stephan Lichtsteiner,25
Bukayo Saka,0
Aaron Ramsey,16
Carl Jenkinson,0
Pierre-Emerick Aubameyang,13
Héctor Bellerín,0
Eddie Nketiah,0
Laurent Koscielny,8
Sead Kolasinac,27
Bernd Leno,27
Lucas Torreira,25
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
