,initial_possession
Ben White,0
Mathew Ryan,19
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,3
Bruno,0
Lewis Dunk,39
Anthony Knockaert,22
Jürgen Locadia,0
Jason Steele,0
Martín Montoya,35
Bernardo,0
Davy Pröpper,0
Leon Balogun,0
José Izquierdo,13
Gaëtan Bong,37
Viktor Gyökeres,0
Pascal Groß,0
Dan Burn,0
Alireza Jahanbakhsh,0
Shane Duffy,31
Florin Andone,7
Max Sanders,0
Dale Stephens,10
Beram Kayal,23
Glenn Murray,15
Yves Bissouma,22
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
