,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,4,0,4,1,0,8,11,0,0,0,10,0,0,0,0,5,3,0,0,1,1,0,0,0,0,0,0,4
Mohamed Salah,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,4,0,0,2,5,0,0,0,0,1,3,7
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,1,3,0,0,5,0,7,3,0,0,0,12,0,0,2,0,0,4,1,0,2,28,0,0,0,0,0,0,8
Alisson Becker,2,0,0,1,0,0,4,7,0,0,0,6,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,3
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,7,5,0,6,0,0,0,5,0,0,0,20,0,0,1,0,2,5,0,0,9,16,0,0,0,0,0,0,15
Andy Robertson,16,1,0,1,0,0,10,0,0,0,0,13,0,0,0,0,5,5,1,0,14,1,0,0,0,0,0,1,14
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,8,1,0,27,2,0,15,23,0,0,0,0,0,0,0,0,4,0,0,0,9,2,0,1,0,0,1,0,9
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,5
Roberto Firmino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadio Mané,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0,0,1,8
Daniel Sturridge,0,2,0,1,0,0,2,7,0,0,0,3,0,0,2,0,3,0,0,0,3,2,0,2,0,0,0,2,7
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,2,2,0,8,2,0,10,9,0,0,0,8,0,0,1,0,3,4,1,0,0,6,0,0,0,0,0,1,6
Trent Alexander-Arnold,2,6,0,14,1,0,19,4,0,0,0,7,0,0,2,0,7,7,1,0,9,0,0,1,0,0,0,0,28
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
