,initial_possession
Denis Suárez,0
Mesut Özil,10
Emile Smith Rowe,0
Granit Xhaka,32
Mohamed Elneny,0
Alex Iwobi,14
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,37
Petr Cech,0
Alexandre Lacazette,15
Ainsley Maitland-Niles,0
Mattéo Guendouzi,37
Henrikh Mkhitaryan,0
Joe Willock,0
Stephan Lichtsteiner,17
Bukayo Saka,0
Aaron Ramsey,5
Carl Jenkinson,0
Pierre-Emerick Aubameyang,15
Héctor Bellerín,22
Eddie Nketiah,0
Laurent Koscielny,0
Sead Kolasinac,0
Bernd Leno,19
Lucas Torreira,34
Rob Holding,17
Danny Welbeck,7
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
