,initial_possession
Ben White,0
Mathew Ryan,29
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,7
Bruno,0
Lewis Dunk,27
Anthony Knockaert,0
Jürgen Locadia,16
Jason Steele,0
Martín Montoya,18
Bernardo,27
Davy Pröpper,0
Leon Balogun,0
José Izquierdo,0
Gaëtan Bong,0
Viktor Gyökeres,0
Pascal Groß,23
Dan Burn,0
Alireza Jahanbakhsh,19
Shane Duffy,18
Florin Andone,17
Max Sanders,0
Dale Stephens,21
Beram Kayal,1
Glenn Murray,10
Yves Bissouma,35
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
