,initial_possession
Denis Suárez,6
Mesut Özil,12
Emile Smith Rowe,0
Granit Xhaka,0
Mohamed Elneny,0
Alex Iwobi,3
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,12
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Petr Cech,0
Alexandre Lacazette,7
Ainsley Maitland-Niles,0
Mattéo Guendouzi,26
Henrikh Mkhitaryan,14
Joe Willock,0
Stephan Lichtsteiner,0
Bukayo Saka,0
Aaron Ramsey,0
Carl Jenkinson,28
Pierre-Emerick Aubameyang,10
Héctor Bellerín,0
Eddie Nketiah,0
Laurent Koscielny,22
Sead Kolasinac,13
Bernd Leno,15
Lucas Torreira,26
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,28
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
