,initial_possession
Georginio Wijnaldum,14
Mohamed Salah,18
Adam Lallana,0
Dejan Lovren,0
Alisson Becker,25
Simon Mignolet,0
Fabinho,29
Andy Robertson,33
Joe Gomez,20
Curtis Jones,0
Joël Matip,1
Virgil van Dijk,24
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,1
Roberto Firmino,11
Sadio Mané,19
Daniel Sturridge,0
Divock Origi,0
Naby Keïta,0
Jordan Henderson,0
Trent Alexander-Arnold,41
Alex Oxlade-Chamberlain,0
James Milner,31
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
