,initial_possession
Denis Suárez,0
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,0
Mohamed Elneny,15
Alex Iwobi,13
Konstantinos Mavropanos,6
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,33
Petr Cech,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,0
Mattéo Guendouzi,22
Henrikh Mkhitaryan,25
Joe Willock,9
Stephan Lichtsteiner,31
Bukayo Saka,0
Aaron Ramsey,0
Carl Jenkinson,0
Pierre-Emerick Aubameyang,10
Héctor Bellerín,0
Eddie Nketiah,5
Laurent Koscielny,20
Sead Kolasinac,0
Bernd Leno,22
Lucas Torreira,0
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,27
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
