,initial_possession
Ben White,0
Mathew Ryan,0
David Button,17
Jayson Molumby,0
Markus Suttner,0
Solly March,27
Bruno,0
Lewis Dunk,14
Anthony Knockaert,0
Jürgen Locadia,20
Jason Steele,0
Martín Montoya,35
Bernardo,33
Davy Pröpper,17
Leon Balogun,0
José Izquierdo,0
Gaëtan Bong,12
Viktor Gyökeres,0
Pascal Groß,30
Dan Burn,0
Alireza Jahanbakhsh,0
Shane Duffy,20
Florin Andone,9
Max Sanders,0
Dale Stephens,19
Beram Kayal,0
Glenn Murray,10
Yves Bissouma,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
