,initial_possession
Ben White,0
Mathew Ryan,12
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,0
Bruno,0
Lewis Dunk,25
Anthony Knockaert,11
Jürgen Locadia,12
Jason Steele,0
Martín Montoya,20
Bernardo,40
Davy Pröpper,15
Leon Balogun,0
José Izquierdo,3
Gaëtan Bong,0
Viktor Gyökeres,0
Pascal Groß,0
Dan Burn,0
Alireza Jahanbakhsh,0
Shane Duffy,37
Florin Andone,15
Max Sanders,0
Dale Stephens,31
Beram Kayal,0
Glenn Murray,10
Yves Bissouma,28
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
