,initial_possession
Ben White,0
Mathew Ryan,0
David Button,18
Jayson Molumby,0
Markus Suttner,0
Solly March,28
Bruno,0
Lewis Dunk,24
Anthony Knockaert,0
Jürgen Locadia,17
Jason Steele,0
Martín Montoya,58
Bernardo,39
Davy Pröpper,31
Leon Balogun,0
José Izquierdo,0
Gaëtan Bong,0
Viktor Gyökeres,0
Pascal Groß,22
Dan Burn,0
Alireza Jahanbakhsh,0
Shane Duffy,30
Florin Andone,23
Max Sanders,0
Dale Stephens,28
Beram Kayal,0
Glenn Murray,3
Yves Bissouma,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
