,Denis Suárez,Mesut Özil,Emile Smith Rowe,Granit Xhaka,Mohamed Elneny,Alex Iwobi,Konstantinos Mavropanos,Sokratis Papastathopoulos,Zech Medley,Emiliano Martínez,Shkodran Mustafi,Petr Cech,Alexandre Lacazette,Ainsley Maitland-Niles,Mattéo Guendouzi,Henrikh Mkhitaryan,Joe Willock,Stephan Lichtsteiner,Bukayo Saka,Aaron Ramsey,Carl Jenkinson,Pierre-Emerick Aubameyang,Héctor Bellerín,Eddie Nketiah,Laurent Koscielny,Sead Kolasinac,Bernd Leno,Lucas Torreira,Rob Holding,Danny Welbeck,Nacho Monreal,Successful,Unsuccessful,Unsuccessful Pass
Denis Suárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesut Özil,0,0,0,2,0,0,0,1,0,0,0,0,1,0,3,0,0,2,0,0,0,3,0,0,4,1,0,5,0,0,0,0,0,3
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,0,6,0,0,0,4,0,17,0,0,0,0,4,2,11,0,0,3,0,2,0,3,0,0,19,14,4,20,0,0,0,0,0,13
Mohamed Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Iwobi,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,2,0,0,1,4,1,2,0,0,0,0,0,5
Konstantinos Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sokratis Papastathopoulos,0,3,0,24,0,0,0,0,0,0,0,0,0,0,19,0,0,4,0,0,0,2,0,0,18,1,4,17,0,0,0,0,1,7
Zech Medley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodran Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petr Cech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,2,5
Ainsley Maitland-Niles,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Mattéo Guendouzi,0,3,0,18,0,4,0,12,0,0,0,0,3,1,0,0,0,9,0,3,0,9,0,0,4,7,2,8,0,0,0,0,0,7
Henrikh Mkhitaryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephan Lichtsteiner,0,3,0,4,0,0,0,8,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,2,9,0,0,0,0,0,18
Bukayo Saka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Ramsey,0,0,0,2,0,3,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,3
Carl Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,0,1,0,1,0,2,0,1,0,0,0,0,3,1,8,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,1,3,4
Héctor Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurent Koscielny,0,1,0,10,0,0,0,26,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,6,10,4,0,0,0,0,0,4
Sead Kolasinac,0,1,0,13,0,4,0,0,0,0,0,0,3,0,4,0,0,1,0,2,0,4,0,0,9,0,1,2,0,0,0,0,0,10
Bernd Leno,0,0,0,10,0,2,0,9,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6
Lucas Torreira,0,5,0,17,0,3,0,10,0,0,0,0,2,1,13,0,0,9,0,4,0,2,0,0,7,0,0,0,0,0,0,0,0,5
Rob Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Welbeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacho Monreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
