,initial_possession
Denis Suárez,0
Mesut Özil,4
Emile Smith Rowe,0
Granit Xhaka,28
Mohamed Elneny,0
Alex Iwobi,13
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,33
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,41
Petr Cech,0
Alexandre Lacazette,26
Ainsley Maitland-Niles,0
Mattéo Guendouzi,0
Henrikh Mkhitaryan,21
Joe Willock,0
Stephan Lichtsteiner,22
Bukayo Saka,0
Aaron Ramsey,14
Carl Jenkinson,0
Pierre-Emerick Aubameyang,3
Héctor Bellerín,0
Eddie Nketiah,0
Laurent Koscielny,4
Sead Kolasinac,39
Bernd Leno,13
Lucas Torreira,25
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
