,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,5,3,0,0,0,3,2,0,0,9,3,0,0,7,3,0,0,0,1,2,0,0,15,0,0,0,1,9
Mohamed Salah,5,0,1,0,0,0,2,7,0,0,1,0,0,0,6,7,1,0,0,5,0,0,0,1,0,0,3,1,8
Adam Lallana,3,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,5
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,1,3,0,0,0,0,1,5,0,0,7,6,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,10
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,7,4,3,0,0,0,0,8,0,0,10,6,0,0,3,4,2,0,0,8,0,0,0,6,0,0,0,1,13
Andy Robertson,3,8,1,0,3,0,10,0,0,0,1,14,0,0,3,9,3,0,0,5,1,0,0,1,0,0,0,0,14
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,10,0,0,0,7,0,6,1,0,0,0,19,0,0,2,1,0,0,0,0,1,0,0,9,0,0,0,0,10
Virgil van Dijk,6,1,0,0,8,0,13,12,0,0,17,0,0,0,1,1,0,0,0,3,1,0,0,4,0,0,0,0,7
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,4,4,0,0,0,0,2,3,0,0,3,2,0,0,0,3,0,0,0,1,0,0,0,8,0,0,0,1,8
Roberto Firmino,2,7,2,0,0,0,7,3,0,0,1,1,0,0,5,0,0,0,0,3,0,0,0,1,0,0,0,1,5
Sadio Mané,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,2,6,0,0,0,0,2,10,0,0,0,5,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,3
Jordan Henderson,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,3
Trent Alexander-Arnold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,11,5,3,0,3,0,3,0,0,0,12,0,0,0,8,3,2,0,0,1,5,0,0,0,0,0,0,1,19
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
