,initial_possession
Georginio Wijnaldum,19
Mohamed Salah,13
Adam Lallana,0
Dejan Lovren,0
Alisson Becker,18
Simon Mignolet,0
Fabinho,24
Andy Robertson,31
Joe Gomez,0
Curtis Jones,0
Joël Matip,35
Virgil van Dijk,27
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,0
Roberto Firmino,0
Sadio Mané,19
Daniel Sturridge,0
Divock Origi,9
Naby Keïta,0
Jordan Henderson,17
Trent Alexander-Arnold,33
Alex Oxlade-Chamberlain,0
James Milner,9
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
