,initial_possession
Denis Suárez,0
Mesut Özil,6
Emile Smith Rowe,0
Granit Xhaka,23
Mohamed Elneny,0
Alex Iwobi,19
Konstantinos Mavropanos,16
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,37
Petr Cech,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,4
Mattéo Guendouzi,11
Henrikh Mkhitaryan,22
Joe Willock,0
Stephan Lichtsteiner,0
Bukayo Saka,0
Aaron Ramsey,18
Carl Jenkinson,0
Pierre-Emerick Aubameyang,11
Héctor Bellerín,0
Eddie Nketiah,0
Laurent Koscielny,26
Sead Kolasinac,0
Bernd Leno,15
Lucas Torreira,16
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,30
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
