,initial_possession
Denis Suárez,0
Mesut Özil,4
Emile Smith Rowe,0
Granit Xhaka,15
Mohamed Elneny,0
Alex Iwobi,4
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,21
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Petr Cech,0
Alexandre Lacazette,13
Ainsley Maitland-Niles,10
Mattéo Guendouzi,13
Henrikh Mkhitaryan,0
Joe Willock,0
Stephan Lichtsteiner,25
Bukayo Saka,0
Aaron Ramsey,3
Carl Jenkinson,0
Pierre-Emerick Aubameyang,14
Héctor Bellerín,0
Eddie Nketiah,0
Laurent Koscielny,20
Sead Kolasinac,31
Bernd Leno,17
Lucas Torreira,25
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
