,initial_possession
Denis Suárez,0
Mesut Özil,9
Emile Smith Rowe,0
Granit Xhaka,15
Mohamed Elneny,0
Alex Iwobi,10
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,23
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,25
Petr Cech,26
Alexandre Lacazette,9
Ainsley Maitland-Niles,0
Mattéo Guendouzi,24
Henrikh Mkhitaryan,23
Joe Willock,0
Stephan Lichtsteiner,0
Bukayo Saka,0
Aaron Ramsey,2
Carl Jenkinson,0
Pierre-Emerick Aubameyang,7
Héctor Bellerín,25
Eddie Nketiah,0
Laurent Koscielny,0
Sead Kolasinac,0
Bernd Leno,0
Lucas Torreira,12
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,24
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
