,initial_possession
Georginio Wijnaldum,13
Mohamed Salah,17
Adam Lallana,0
Dejan Lovren,0
Alisson Becker,15
Simon Mignolet,0
Fabinho,22
Andy Robertson,35
Joe Gomez,0
Curtis Jones,0
Joël Matip,39
Virgil van Dijk,27
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,0
Roberto Firmino,14
Sadio Mané,11
Daniel Sturridge,1
Divock Origi,0
Naby Keïta,30
Jordan Henderson,0
Trent Alexander-Arnold,6
Alex Oxlade-Chamberlain,0
James Milner,41
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
