,initial_possession
Denis Suárez,6
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,0
Mohamed Elneny,0
Alex Iwobi,15
Konstantinos Mavropanos,4
Sokratis Papastathopoulos,0
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,15
Petr Cech,0
Alexandre Lacazette,24
Ainsley Maitland-Niles,0
Mattéo Guendouzi,19
Henrikh Mkhitaryan,0
Joe Willock,0
Stephan Lichtsteiner,26
Bukayo Saka,0
Aaron Ramsey,4
Carl Jenkinson,0
Pierre-Emerick Aubameyang,15
Héctor Bellerín,0
Eddie Nketiah,0
Laurent Koscielny,23
Sead Kolasinac,10
Bernd Leno,33
Lucas Torreira,30
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,17
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
