,initial_possession
Denis Suárez,0
Mesut Özil,0
Emile Smith Rowe,0
Granit Xhaka,14
Mohamed Elneny,0
Alex Iwobi,17
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,19
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,16
Petr Cech,0
Alexandre Lacazette,25
Ainsley Maitland-Niles,19
Mattéo Guendouzi,19
Henrikh Mkhitaryan,0
Joe Willock,0
Stephan Lichtsteiner,0
Bukayo Saka,0
Aaron Ramsey,4
Carl Jenkinson,0
Pierre-Emerick Aubameyang,11
Héctor Bellerín,6
Eddie Nketiah,0
Laurent Koscielny,25
Sead Kolasinac,30
Bernd Leno,15
Lucas Torreira,6
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
