,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,4,0,0,2,0,1,6,3,0,0,4,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,3
Mohamed Salah,2,0,5,0,0,0,2,2,2,0,0,0,0,0,6,2,0,6,0,0,3,0,0,4,0,0,1,3,11
Adam Lallana,2,3,0,0,0,0,0,10,1,0,0,1,0,0,3,0,0,2,0,0,4,0,0,8,0,0,0,0,9
Dejan Lovren,1,1,0,0,7,0,0,3,5,0,0,8,0,0,6,0,0,2,0,0,2,0,0,3,0,0,0,0,6
Alisson Becker,0,1,1,6,0,0,0,2,6,0,0,5,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,16
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5
Andy Robertson,3,2,12,2,4,0,2,0,2,0,0,8,0,0,8,0,0,7,0,0,4,0,0,12,0,0,0,2,16
Joe Gomez,4,8,4,7,5,0,3,0,0,0,0,0,0,0,10,0,0,8,0,0,3,0,0,2,0,0,0,0,15
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,1,0,3,7,4,0,0,7,1,0,0,0,0,0,6,1,0,0,0,0,2,0,0,9,0,0,0,0,9
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,2,8,1,5,1,0,0,8,9,0,0,4,0,0,0,2,0,4,0,0,6,0,0,4,0,0,0,2,11
Roberto Firmino,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Sadio Mané,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Sturridge,1,11,0,0,0,0,1,5,4,0,0,0,0,0,3,2,0,0,0,0,1,0,0,1,0,0,0,2,11
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,0,3,6,5,3,0,0,5,4,0,0,0,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,5
Trent Alexander-Arnold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,1,3,9,5,3,0,0,8,2,0,0,3,0,0,3,0,0,6,0,0,4,0,0,0,0,0,0,0,9
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
