,initial_possession
Georginio Wijnaldum,16
Mohamed Salah,7
Adam Lallana,0
Dejan Lovren,0
Alisson Becker,23
Simon Mignolet,0
Fabinho,8
Andy Robertson,26
Joe Gomez,0
Curtis Jones,0
Joël Matip,21
Virgil van Dijk,28
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,0
Roberto Firmino,14
Sadio Mané,14
Daniel Sturridge,0
Divock Origi,6
Naby Keïta,0
Jordan Henderson,21
Trent Alexander-Arnold,42
Alex Oxlade-Chamberlain,0
James Milner,18
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
