,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,2,0,0,0,0,6,14,0,0,5,4,0,0,0,0,0,0,2,0,1,8,0,0,0,0,0,1,4
Mohamed Salah,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,0,1,0,0,0,5,5
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,2,0,0,0,0,0,6,4,0,0,5,8,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,7
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,2,3,0,0,2,0,0,11,1,0,7,9,0,0,0,0,1,0,3,0,6,10,0,1,0,0,0,0,7
Andy Robertson,18,2,0,0,0,0,9,0,0,0,1,19,0,0,0,0,11,0,4,0,2,1,0,4,0,0,0,1,20
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,4,1,0,0,9,0,6,3,0,0,0,19,0,0,0,0,1,0,1,0,6,20,0,0,0,0,0,0,6
Virgil van Dijk,5,0,0,0,2,0,13,24,2,0,14,0,0,0,0,0,3,0,1,0,8,6,0,3,0,0,0,1,5
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadio Mané,4,4,0,0,0,0,3,2,1,0,0,2,0,0,0,0,0,0,1,0,1,2,0,3,0,0,2,0,8
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,6
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,1,3,0,0,1,0,1,2,0,0,4,4,0,0,0,0,3,0,1,0,0,14,0,1,0,0,0,0,14
Trent Alexander-Arnold,5,4,0,0,2,0,6,3,0,0,20,2,0,0,0,0,6,0,1,0,14,0,0,3,0,0,0,1,27
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,1,1,0,0,0,0,2,4,2,0,0,3,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,4
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
