,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2
Mohamed Salah,2,0,0,1,0,0,1,4,0,0,0,1,0,0,0,9,12,0,0,3,1,0,0,6,0,0,1,3,10
Adam Lallana,1,1,0,0,0,0,0,7,0,0,0,1,0,0,0,2,3,0,0,0,2,0,0,2,0,0,0,1,1
Dejan Lovren,0,2,0,0,10,0,6,0,0,0,0,9,0,0,0,1,2,0,0,1,6,0,0,20,0,0,0,0,5
Alisson Becker,0,0,1,4,0,0,4,5,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,9,0,0,0,0,8
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,1,3,7,0,0,0,8,0,0,0,7,0,0,0,2,5,0,0,9,5,0,0,3,0,0,0,0,9
Andy Robertson,0,2,2,3,1,0,9,0,0,0,0,15,0,0,0,12,2,0,0,12,4,0,0,0,0,0,0,0,16
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,0,0,2,12,5,0,8,15,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,4,0,0,1,1,5
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,0,9,1,2,0,0,5,10,0,0,0,1,0,0,0,0,6,0,0,2,7,0,0,4,0,0,0,2,7
Sadio Mané,0,9,3,3,1,0,2,2,0,0,0,0,0,0,0,4,1,0,0,1,7,0,0,6,0,0,0,1,15
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,3,0,2,0,0,7,9,0,0,0,0,0,0,0,6,2,0,0,0,3,0,0,0,0,0,0,2,7
Jordan Henderson,0,8,0,6,0,0,1,3,0,0,0,8,0,0,0,5,5,0,0,8,0,0,0,18,0,0,0,0,10
Trent Alexander-Arnold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,2,16,6,15,5,0,6,0,0,0,0,2,0,1,0,10,13,0,0,0,13,0,0,0,0,0,0,2,19
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
