,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,9,7,0,0,0,0,0,0,5
Mohamed Salah,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,1,0,0,0,5,5
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,1,0,0,0,0,0,0,14,0,0,4,3,0,0,0,0,0,0,1,0,3,1,0,3,0,0,0,0,7
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3
Andy Robertson,2,1,0,0,1,0,2,0,0,0,2,9,0,0,0,6,13,0,3,0,5,4,0,14,0,0,0,0,15
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,3,2,0,0,3,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,2,10,0,2,0,0,0,0,10
Virgil van Dijk,2,0,0,0,4,0,0,16,0,0,11,0,0,0,0,1,3,0,1,0,2,1,0,5,0,0,0,1,6
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,1,3,0,0,0,0,0,4,0,0,0,2,0,0,0,0,3,0,0,0,2,2,0,0,0,0,1,1,11
Sadio Mané,3,2,0,0,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0,0,1,2,0,4,0,0,0,2,6
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,3,2,0,0,2,0,0,7,0,0,1,4,0,0,0,3,1,0,0,0,0,7,0,7,0,0,0,1,9
Trent Alexander-Arnold,11,5,0,0,3,0,1,1,0,0,5,1,0,0,0,11,3,0,0,0,8,0,0,4,0,0,0,2,16
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,3,1,0,0,1,0,0,11,0,0,1,3,0,0,0,2,3,0,0,0,6,8,0,0,0,0,0,0,11
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
