,initial_possession
Georginio Wijnaldum,24
Mohamed Salah,14
Adam Lallana,0
Dejan Lovren,0
Alisson Becker,16
Simon Mignolet,0
Fabinho,29
Andy Robertson,21
Joe Gomez,0
Curtis Jones,0
Joël Matip,33
Virgil van Dijk,24
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,6
Roberto Firmino,8
Sadio Mané,18
Daniel Sturridge,7
Divock Origi,1
Naby Keïta,0
Jordan Henderson,23
Trent Alexander-Arnold,0
Alex Oxlade-Chamberlain,0
James Milner,30
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
