,initial_possession
Ben White,0
Mathew Ryan,15
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,7
Bruno,30
Lewis Dunk,26
Anthony Knockaert,13
Jürgen Locadia,2
Jason Steele,0
Martín Montoya,0
Bernardo,45
Davy Pröpper,22
Leon Balogun,0
José Izquierdo,27
Gaëtan Bong,0
Viktor Gyökeres,0
Pascal Groß,14
Dan Burn,0
Alireza Jahanbakhsh,0
Shane Duffy,22
Florin Andone,0
Max Sanders,0
Dale Stephens,0
Beram Kayal,33
Glenn Murray,12
Yves Bissouma,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
