,initial_possession
Ben White,0
Mathew Ryan,12
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,18
Bruno,0
Lewis Dunk,31
Anthony Knockaert,6
Jürgen Locadia,12
Jason Steele,0
Martín Montoya,32
Bernardo,47
Davy Pröpper,30
Leon Balogun,24
José Izquierdo,0
Gaëtan Bong,10
Viktor Gyökeres,0
Pascal Groß,16
Dan Burn,0
Alireza Jahanbakhsh,0
Shane Duffy,0
Florin Andone,15
Max Sanders,0
Dale Stephens,0
Beram Kayal,0
Glenn Murray,0
Yves Bissouma,19
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
