,initial_possession
Denis Suárez,0
Mesut Özil,12
Emile Smith Rowe,0
Granit Xhaka,0
Mohamed Elneny,5
Alex Iwobi,7
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,23
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,32
Petr Cech,0
Alexandre Lacazette,16
Ainsley Maitland-Niles,24
Mattéo Guendouzi,39
Henrikh Mkhitaryan,3
Joe Willock,0
Stephan Lichtsteiner,0
Bukayo Saka,0
Aaron Ramsey,19
Carl Jenkinson,0
Pierre-Emerick Aubameyang,3
Héctor Bellerín,0
Eddie Nketiah,0
Laurent Koscielny,0
Sead Kolasinac,33
Bernd Leno,11
Lucas Torreira,0
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,28
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
