,initial_possession
Georginio Wijnaldum,16
Mohamed Salah,18
Adam Lallana,0
Dejan Lovren,0
Alisson Becker,13
Simon Mignolet,0
Fabinho,0
Andy Robertson,25
Joe Gomez,25
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,37
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,6
Roberto Firmino,17
Sadio Mané,15
Daniel Sturridge,0
Divock Origi,0
Naby Keïta,6
Jordan Henderson,16
Trent Alexander-Arnold,36
Alex Oxlade-Chamberlain,0
James Milner,22
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
