,initial_possession
Ben White,0
Mathew Ryan,11
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,30
Bruno,0
Lewis Dunk,32
Anthony Knockaert,0
Jürgen Locadia,24
Jason Steele,0
Martín Montoya,42
Bernardo,0
Davy Pröpper,39
Leon Balogun,0
José Izquierdo,0
Gaëtan Bong,28
Viktor Gyökeres,0
Pascal Groß,27
Dan Burn,0
Alireza Jahanbakhsh,0
Shane Duffy,36
Florin Andone,5
Max Sanders,0
Dale Stephens,0
Beram Kayal,0
Glenn Murray,11
Yves Bissouma,27
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
