,initial_possession
Denis Suárez,0
Mesut Özil,13
Emile Smith Rowe,0
Granit Xhaka,0
Mohamed Elneny,9
Alex Iwobi,3
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,36
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,41
Petr Cech,0
Alexandre Lacazette,17
Ainsley Maitland-Niles,42
Mattéo Guendouzi,21
Henrikh Mkhitaryan,20
Joe Willock,0
Stephan Lichtsteiner,0
Bukayo Saka,0
Aaron Ramsey,19
Carl Jenkinson,0
Pierre-Emerick Aubameyang,3
Héctor Bellerín,0
Eddie Nketiah,0
Laurent Koscielny,0
Sead Kolasinac,20
Bernd Leno,23
Lucas Torreira,0
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,25
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
