,initial_possession
Georginio Wijnaldum,18
Mohamed Salah,16
Adam Lallana,0
Dejan Lovren,0
Alisson Becker,13
Simon Mignolet,0
Fabinho,0
Andy Robertson,21
Joe Gomez,30
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,20
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,2
Roberto Firmino,8
Sadio Mané,14
Daniel Sturridge,3
Divock Origi,0
Naby Keïta,19
Jordan Henderson,7
Trent Alexander-Arnold,34
Alex Oxlade-Chamberlain,0
James Milner,23
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
