,initial_possession
Ben White,0
Mathew Ryan,19
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,27
Bruno,0
Lewis Dunk,7
Anthony Knockaert,21
Jürgen Locadia,0
Jason Steele,0
Martín Montoya,27
Bernardo,0
Davy Pröpper,24
Leon Balogun,19
José Izquierdo,0
Gaëtan Bong,31
Viktor Gyökeres,0
Pascal Groß,21
Dan Burn,0
Alireza Jahanbakhsh,0
Shane Duffy,23
Florin Andone,0
Max Sanders,0
Dale Stephens,26
Beram Kayal,0
Glenn Murray,22
Yves Bissouma,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
