,initial_possession
Denis Suárez,0
Mesut Özil,15
Emile Smith Rowe,0
Granit Xhaka,22
Mohamed Elneny,0
Alex Iwobi,0
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,25
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,28
Petr Cech,24
Alexandre Lacazette,6
Ainsley Maitland-Niles,15
Mattéo Guendouzi,30
Henrikh Mkhitaryan,17
Joe Willock,0
Stephan Lichtsteiner,17
Bukayo Saka,0
Aaron Ramsey,14
Carl Jenkinson,0
Pierre-Emerick Aubameyang,9
Héctor Bellerín,27
Eddie Nketiah,0
Laurent Koscielny,0
Sead Kolasinac,0
Bernd Leno,0
Lucas Torreira,7
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
