,initial_possession
Georginio Wijnaldum,2
Mohamed Salah,19
Adam Lallana,0
Dejan Lovren,0
Alisson Becker,13
Simon Mignolet,0
Fabinho,26
Andy Robertson,29
Joe Gomez,0
Curtis Jones,0
Joël Matip,23
Virgil van Dijk,18
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,2
Roberto Firmino,23
Sadio Mané,19
Daniel Sturridge,0
Divock Origi,0
Naby Keïta,19
Jordan Henderson,25
Trent Alexander-Arnold,40
Alex Oxlade-Chamberlain,0
James Milner,7
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
