,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,4,0,8,0,0,9,8,0,0,0,5,0,15,2,8,14,0,0,1,0,0,0,0,0,0,0,3,10
Mohamed Salah,1,0,0,3,0,0,1,2,0,0,0,0,0,1,1,9,5,0,0,1,0,0,0,0,0,0,0,3,7
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,13,2,0,0,9,0,4,3,0,0,0,3,0,4,2,0,2,0,0,1,0,0,0,0,0,0,0,3,13
Alisson Becker,1,0,0,6,0,0,4,6,0,0,0,2,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,8
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,7,7,0,5,0,0,0,4,0,0,0,2,0,5,2,10,5,0,0,3,1,0,0,0,0,0,0,5,15
Andy Robertson,8,4,0,3,1,0,6,0,0,0,0,4,0,2,1,17,2,0,0,9,1,0,0,0,0,0,0,1,22
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,1,0,0,3,4,0,1,10,0,0,0,0,0,1,0,2,0,0,0,5,1,0,0,0,0,0,0,3,8
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,14,3,0,5,0,0,6,1,0,0,0,1,0,0,2,8,6,0,0,0,0,0,0,0,0,0,0,2,12
Xherdan Shaqiri,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,5
Roberto Firmino,10,5,0,0,0,0,7,9,0,0,0,1,0,3,2,0,6,0,0,7,2,0,0,0,0,0,0,9,12
Sadio Mané,7,6,0,1,0,0,4,0,0,0,0,1,0,2,1,2,0,0,0,2,0,0,0,0,0,0,1,2,13
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,3,2,0,1,0,0,2,5,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,9
Jordan Henderson,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1
Trent Alexander-Arnold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
