,initial_possession
Ben White,0
Mathew Ryan,24
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,15
Bruno,19
Lewis Dunk,20
Anthony Knockaert,13
Jürgen Locadia,0
Jason Steele,0
Martín Montoya,0
Bernardo,33
Davy Pröpper,0
Leon Balogun,0
José Izquierdo,0
Gaëtan Bong,0
Viktor Gyökeres,0
Pascal Groß,20
Dan Burn,0
Alireza Jahanbakhsh,12
Shane Duffy,34
Florin Andone,6
Max Sanders,0
Dale Stephens,27
Beram Kayal,0
Glenn Murray,17
Yves Bissouma,36
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
