,initial_possession
Ben White,0
Mathew Ryan,23
David Button,0
Jayson Molumby,0
Markus Suttner,0
Solly March,19
Bruno,0
Lewis Dunk,20
Anthony Knockaert,26
Jürgen Locadia,3
Jason Steele,0
Martín Montoya,27
Bernardo,0
Davy Pröpper,14
Leon Balogun,0
José Izquierdo,0
Gaëtan Bong,23
Viktor Gyökeres,0
Pascal Groß,0
Dan Burn,0
Alireza Jahanbakhsh,3
Shane Duffy,17
Florin Andone,0
Max Sanders,0
Dale Stephens,5
Beram Kayal,11
Glenn Murray,14
Yves Bissouma,16
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
