,initial_possession
Georginio Wijnaldum,21
Mohamed Salah,10
Adam Lallana,0
Dejan Lovren,32
Alisson Becker,21
Simon Mignolet,0
Fabinho,7
Andy Robertson,24
Joe Gomez,0
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,29
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,5
Roberto Firmino,16
Sadio Mané,10
Daniel Sturridge,1
Divock Origi,0
Naby Keïta,0
Jordan Henderson,28
Trent Alexander-Arnold,47
Alex Oxlade-Chamberlain,0
James Milner,16
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
