,initial_possession
Georginio Wijnaldum,18
Mohamed Salah,6
Adam Lallana,0
Dejan Lovren,30
Alisson Becker,16
Simon Mignolet,0
Fabinho,0
Andy Robertson,27
Joe Gomez,39
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,31
Rafael Camacho,0
Nathaniel Clyne,0
Xherdan Shaqiri,0
Roberto Firmino,7
Sadio Mané,14
Daniel Sturridge,3
Divock Origi,0
Naby Keïta,11
Jordan Henderson,29
Trent Alexander-Arnold,0
Alex Oxlade-Chamberlain,0
James Milner,5
Loris Karius,0
Alberto Moreno,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
