,initial_possession
Denis Suárez,0
Mesut Özil,10
Emile Smith Rowe,0
Granit Xhaka,18
Mohamed Elneny,12
Alex Iwobi,2
Konstantinos Mavropanos,0
Sokratis Papastathopoulos,30
Zech Medley,0
Emiliano Martínez,0
Shkodran Mustafi,0
Petr Cech,0
Alexandre Lacazette,17
Ainsley Maitland-Niles,34
Mattéo Guendouzi,16
Henrikh Mkhitaryan,0
Joe Willock,0
Stephan Lichtsteiner,19
Bukayo Saka,0
Aaron Ramsey,0
Carl Jenkinson,0
Pierre-Emerick Aubameyang,10
Héctor Bellerín,0
Eddie Nketiah,0
Laurent Koscielny,0
Sead Kolasinac,18
Bernd Leno,21
Lucas Torreira,12
Rob Holding,0
Danny Welbeck,0
Nacho Monreal,12
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
