,Georginio Wijnaldum,Mohamed Salah,Adam Lallana,Dejan Lovren,Alisson Becker,Simon Mignolet,Fabinho,Andy Robertson,Joe Gomez,Curtis Jones,Joël Matip,Virgil van Dijk,Rafael Camacho,Nathaniel Clyne,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Daniel Sturridge,Divock Origi,Naby Keïta,Jordan Henderson,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,James Milner,Loris Karius,Alberto Moreno,Successful,Unsuccessful,Unsuccessful Pass
Georginio Wijnaldum,0,4,0,0,1,0,2,0,0,0,6,6,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,4
Mohamed Salah,4,0,0,0,1,0,5,0,0,0,3,0,0,0,0,3,1,0,0,1,0,1,0,1,0,0,1,1,10
Adam Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Lovren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alisson Becker,2,1,0,0,0,0,2,3,0,0,10,6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,8
Simon Mignolet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,4,5,0,0,0,0,0,9,0,0,4,7,0,0,0,2,6,0,0,7,1,6,0,3,0,0,0,1,17
Andy Robertson,1,1,0,0,2,0,4,0,0,0,1,12,0,0,0,1,14,0,0,17,2,1,0,0,0,0,0,0,14
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,5,4,0,0,10,0,6,5,0,0,0,15,0,0,0,6,0,0,0,3,1,19,0,5,0,0,0,0,9
Virgil van Dijk,3,0,0,0,1,0,10,14,0,0,20,0,0,0,0,2,1,0,0,8,1,2,0,2,0,0,0,0,4
Rafael Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,2,3,3,0,1,0,0,0,5,9
Sadio Mané,0,4,0,0,0,0,1,5,0,0,1,1,0,0,0,3,0,0,0,3,0,2,0,2,0,0,0,3,10
Daniel Sturridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,3,0,0,0,0,6,10,0,0,7,4,0,0,0,3,4,0,0,0,0,2,0,0,0,0,1,1,6
Jordan Henderson,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,0,0,1,1,4
Trent Alexander-Arnold,9,6,0,0,0,0,8,5,0,0,9,4,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,15
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,1,0,0,1,0,4,0,0,0,6,0,0,0,0,2,1,0,0,3,4,0,0,0,0,0,0,2,9
Loris Karius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Moreno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
